Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,2,75,Some (~51 to 100 deaths),,,,,,,,,75,Some (~51 to 100 deaths),,,,,,,,,13257,123685,
1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,1640,Complex volcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8758,121.83,
2015,10,,,,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-38.12,176.5,
2018,2,9,Tsunami,,Kadovar,New Guinea-NE of,Papua New Guinea,365,Stratovolcano,Holocene,,,,,,,,,,,,,,,,,,,,,,-3.62,144.62,
-1750,,,,,Veniaminof,Alaska Peninsula,United States,2507,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,56.17,-159.38,
847,,,,,Bona-Churchill,Alaska-E,United States,5005,Stratovolcano,Radiocarbon,6,,,,,,,,,,,,,,,,,,,,,61.38,-141.75,
930,,,,,Ceboruco,Mexico,Mexico,2280,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,21125,-104508,
1158,1,19,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1329,7,,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,1,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,37734,15004,
1510,10,15,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,63.98,-19.7,
1615,3,,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,3,,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,,,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),-4525,129871,
1617,,,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,14473,-90.88,
1646,7,19,,,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,4,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,0.32,127.4,
1677,11,22,,,La Palma,Canary Is,Spain,2426,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,28.58,-17.83,
1784,,,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19692,-155.87,
1800,,,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,5,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,46.2,-122.18,
1820,6,11,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-4525,129871,
1827,6,27,Tsunami,Earthquake,Avachinsky,Kamchatka,Russia,2741,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,53255,158.83,
1843,11,17,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,2,56,Some (~51 to 100 deaths),,,,Some (~51 to 100 deaths),,,,,56,Some (~51 to 100 deaths),,,,Some (~51 to 100 deaths),,,,,37734,15004,
1847,12,4,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,2,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-7.2,109.92,
1857,4,17,Tsunami,Earthquake,Umboi,New Guinea-NE of,Papua New Guinea,1548,Complex volcano,Holocene,,,,,,,,,,,,,,,,,,,,,,-5589,147875,
1866,9,12,Tsunami,,Ofu-Olosega,Samoa-SW Pacific,United States,639,Shield volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,-14175,-169618,
1870,8,,,,Ruang,Sangihe Is-Indonesia,Indonesia,725,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,40,Few (~1 to 50 houses),,Few (~1 to 50 deaths),,,,,,,40,Few (~1 to 50 houses),2.28,125425,
1870,,,,,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-8.54,123.59,
1885,5,25,,Earthquake,Purace,Colombia,Colombia,4650,Stratovolcano,Historical,3,,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),,Some (~51 to 100 deaths),,,,,,MODERATE (~$1 to $5 million),,Some (~51 to 100 houses),2.32,-76.4,
1897,3,26,Tsunami,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),-10.38,165.8,
1902,5,7,Tsunami,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,4,1680,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,,,,1680,Very Many (~1001 or more deaths),,,,Many (~101 to 1000 deaths),,,,,13.33,-61.18,
